feature,importance
DC,0.3731899282780902
DMC,0.2985201197924942
FFMC,0.08736476196607765
temp,0.07935956252725206
month_mar,0.0535342445764136
ISI,0.04052733104047575
RH,0.030538782545887797
month_sep,0.008962853036010571
month_jun,0.005880626964943776
month_aug,0.0057265164218237505
month_jul,0.005686804710912667
month_may,0.003877635158012351
month_oct,0.003159430556189791
month_feb,0.0016971828794929888
month_dec,0.001044439911053856
month_apr,0.0009246003027066565
month_nov,5.1793321624826615e-06
